Account,Source Account,Text,Time,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
CBS News,-,"On Monday morning, Pres. Trump tweeted that ""it’s the “best economy &amp; jobs EVER""— but compared to the postwar boom,… https://t.co/fQ0OGp3gTU",2018-06-04 21:10:01-05:00,0.0,0.0,0.0,1.0,2
CBS News,-,"Ronald Reagan would be ""pretty horrified at where we've come to,"" his daughter writes in Washington Post opinion pi… https://t.co/kIFobhAGHG",2018-06-04 20:49:47-05:00,-0.0772,0.13,0.142,0.729,3
CBS News,-,"Ben Rhodes served as President Obama's deputy national security advisor. Tonight he told ""Red &amp; Blue"" that ""he woul… https://t.co/vnX3aZF6NL",2018-06-04 20:49:14-05:00,0.34,0.112,0.0,0.888,4
CBS News,-,"'Senioritis' usually involves ditching a class or two. Roland Martineau, served in World War II and waited 76 years… https://t.co/4p6o8heo0y",2018-06-04 20:30:08-05:00,-0.5994,0.0,0.178,0.822,5
CBS News,-,Authorities in Tennessee are searching for a man accused of savagely murdering his former boss in broad daylight.… https://t.co/iMsFg495Lm,2018-06-04 20:09:32-05:00,-0.8658,0.0,0.393,0.607,6
CBS News,-,"""This is not zero tolerance. This is zero humanity."" Senator Jeff Merkley (D-OR) tried to visit an immigration dete… https://t.co/XQGv24HvIl",2018-06-04 19:49:45-05:00,-0.2235,0.0,0.09,0.91,7
CBS News,-,"There are over 5,000 Gold Star children in America who have lost a loved one in the military. At the Good Grief Cam… https://t.co/QoHsyHpxM6",2018-06-04 19:30:01-05:00,0.3182,0.217,0.176,0.607,8
CBS News,-,A Georgia woman received a 20 year prison sentence for the sexual enslavement of her kindergarten-age daughters for… https://t.co/br1v5wHwKT,2018-06-04 19:09:33-05:00,-0.4588,0.066,0.168,0.765,9
CBS News,-,"""It was either me or them"": No charges for Memphis who out-gunned a pair of armed intruders with his AK-47… https://t.co/HbbtSrlbCC",2018-06-04 18:50:01-05:00,-0.5106,0.0,0.193,0.807,10
CBS News,-,Texas teen hospitalized for five days after being diagnosed with a life-threatening disease caused by working out t… https://t.co/VeVm9XM9nC,2018-06-04 18:09:46-05:00,0.0,0.0,0.0,1.0,11
CBS News,-,Photo of firefighter cradling little girl after car accident goes viral https://t.co/7yWebA9IXy https://t.co/n1Kk8W9Tlb,2018-06-04 17:49:56-05:00,-0.4767,0.0,0.205,0.795,12
CBS News,-,Societe Generale plead guilty to charges including bribery and interest rate manipulation. Fines imposed in the U.S… https://t.co/hm7nzdjHEF,2018-06-04 17:29:52-05:00,-0.5267,0.123,0.344,0.533,13
CBS News,-,"Feral peacocks in Canada are attacking luxury cars after seeing their own reflections. And now, frustrated resident… https://t.co/oFD8IGqDhH",2018-06-04 17:09:44-05:00,-0.7506,0.0,0.286,0.714,14
CBS News,-,Dead baby found floating off Florida coast no more than 14 days old https://t.co/zlHLZukvsI https://t.co/HEfjGvW1k9,2018-06-04 17:00:02-05:00,-0.7579,0.0,0.333,0.667,15
CBS News,-,"Ronald Reagan would be ""pretty horrified at where we've come to,"" his daughter writes in Washington Post opinion pi… https://t.co/tTyCTbCiHB",2018-06-04 16:53:27-05:00,-0.0772,0.13,0.142,0.729,16
CBS News,-,"President Trump ""hasn't done anything wrong,"" @PressSec repeatedly says to reporters, as she fields questions durin… https://t.co/zaD6oH4dTL",2018-06-04 16:22:28-05:00,0.0,0.0,0.0,1.0,17
